bank_id,bank_name,region,bank_size,lending_style,quarter_num,year,quarter,date,total_assets,total_equity,liquid_assets,total_loans,non_performing_loans,loan_loss_provisions,current_deposits,liquidity_ratio,capital_adequacy_ratio,cash_reserve_ratio,leverage_ratio,loan_to_deposit_ratio,npl_ratio,net_income,return_on_assets,return_on_equity,net_interest_margin,operating_expenses,cost_to_income_ratio,staff_count,branches,concentration_risk,deposit_volatility,financial_health_status,consecutive_losses,risk_reasons
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,11,2023,Q3,2023-Q3,43.43,7.37,7.52,31.05,2.43,2.77,33.43,17.32,16.98,8.02,18.22,92.87,7.84,1.6,3.69,21.76,9.57,1.86,42.55,26.0,6.0,40.19,8.48,0,0,
BANK_001,"Rodriguez, Figueroa and Sanchez Rural Bank",Upper West,Small,Moderate,12,2023,Q4,2023-Q4,44.47,7.57,7.99,13.95,1.08,0.68,34.01,17.97,17.01,20.81,9.25,41.01,7.77,2.17,4.88,28.66,3.74,3.05,91.57,33.0,12.0,46.89,19.21,0,0,
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,1,2021,Q1,2021-Q1,7.61,0.73,2.65,5.76,0.21,0.2,6.1,34.86,9.64,14.52,17.79,94.46,3.57,0.1,1.32,13.67,10.22,0.37,83.22,,2.0,22.15,19.06,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,2,2021,Q2,2021-Q2,7.66,0.75,2.71,3.57,0.13,0.08,6.33,35.44,9.75,22.76,17.39,56.41,3.57,0.45,5.83,59.83,2.31,0.51,89.12,88.0,14.0,49.2,18.27,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,3,2021,Q3,2021-Q3,7.22,0.7,2.6,4.27,0.16,0.14,5.27,35.95,9.64,16.02,15.87,81.02,3.65,0.27,3.74,38.82,3.59,0.29,35.93,,7.0,38.87,5.54,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,4,2021,Q4,2021-Q4,6.89,0.67,2.56,4.68,0.18,0.12,5.02,37.21,9.73,17.49,18.68,93.21,3.85,0.15,2.17,22.35,3.61,,51.19,67.0,7.0,59.3,9.49,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,5,2022,Q1,2022-Q1,7.72,0.75,2.94,5.84,0.23,0.27,6.24,38.06,9.69,23.43,10.93,93.61,3.96,0.35,4.6,47.43,9.49,0.29,36.68,65.0,2.0,36.71,11.31,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,6,2022,Q2,2022-Q2,8.34,0.8,3.28,2.86,0.11,0.08,6.5,39.29,9.63,24.62,19.12,43.98,3.94,0.17,1.98,20.61,8.93,0.59,32.68,,14.0,20.59,31.89,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,7,2022,Q3,2022-Q3,9.17,0.9,3.65,4.35,0.17,0.18,7.71,39.84,9.76,18.41,14.19,56.44,3.98,0.31,3.41,34.96,8.61,0.53,68.84,82.0,8.0,16.83,9.92,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,8,2022,Q4,2022-Q4,9.12,0.89,3.63,5.33,0.22,0.18,7.04,39.79,9.72,20.65,13.9,75.77,4.09,0.51,5.56,57.22,6.34,0.29,,,10.0,29.95,21.27,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,9,2023,Q1,2023-Q1,8.97,0.87,3.53,3.57,0.15,0.09,6.84,39.36,9.72,24.33,11.05,52.13,4.14,0.27,3.05,31.36,10.46,0.55,77.8,81.0,8.0,39.45,,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,10,2023,Q2,2023-Q2,8.79,0.85,3.56,5.09,0.22,0.26,6.94,40.46,9.73,12.83,10.93,73.34,4.25,0.25,2.81,28.93,5.84,0.47,84.34,38.0,12.0,33.24,23.06,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,11,2023,Q3,2023-Q3,8.68,0.86,3.53,3.86,0.16,0.12,6.16,40.73,9.87,18.08,12.69,62.72,4.12,0.33,3.8,38.54,8.63,0.3,72.39,44.0,7.0,53.61,5.27,1,0,Low Capital; 
BANK_002,Doyle Ltd Rural Bank,Greater Accra,Small,Conservative,12,2023,Q4,2023-Q4,9.84,0.99,4.16,3.84,0.16,0.11,7.24,42.29,10.02,15.63,10.95,53.04,4.07,0.42,4.27,42.61,3.46,0.52,68.21,95.0,5.0,31.17,16.38,1,0,Low Capital; 
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,1,2021,Q1,2021-Q1,32.25,5.11,8.44,21.57,1.8,1.99,25.99,26.16,15.85,17.18,13.0,83.0,8.36,0.37,1.14,7.18,11.87,1.17,45.02,24.0,10.0,25.11,10.4,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,2,2021,Q2,2021-Q2,35.08,5.6,9.24,18.7,1.59,1.08,28.16,26.33,15.97,16.87,10.96,66.39,8.49,0.95,2.71,16.95,7.32,1.27,38.63,31.0,14.0,47.98,9.87,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,3,2021,Q3,2021-Q3,36.09,5.72,9.09,16.12,1.41,1.67,30.48,25.2,15.84,14.36,7.34,52.9,8.76,0.39,1.09,6.86,4.44,,86.2,81.0,3.0,50.8,,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,4,2021,Q4,2021-Q4,36.74,5.83,9.04,22.16,1.94,1.8,28.9,24.62,15.86,13.41,17.4,76.68,8.77,1.97,5.35,33.75,11.93,2.48,35.88,43.0,3.0,44.27,27.96,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,5,2022,Q1,2022-Q1,37.35,5.97,9.46,24.65,2.16,1.53,27.92,25.34,15.98,19.03,18.52,88.28,8.75,0.97,2.59,16.23,8.3,2.26,66.62,50.0,9.0,41.84,21.37,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,6,2022,Q2,2022-Q2,37.55,6.0,9.98,14.73,1.3,1.14,29.9,26.58,15.97,24.18,13.81,49.26,8.79,1.95,5.19,32.49,11.14,2.65,37.08,31.0,8.0,26.07,19.3,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,7,2022,Q3,2022-Q3,40.01,6.25,11.02,24.71,2.18,2.45,31.14,27.54,15.62,9.21,16.2,79.35,8.81,2.3,5.74,36.75,8.55,1.96,42.82,58.0,4.0,22.48,23.52,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,8,2022,Q4,2022-Q4,40.51,6.35,10.63,22.09,2.07,1.62,31.89,26.24,15.66,24.6,18.94,69.27,9.38,2.14,5.29,33.77,7.22,1.46,85.86,83.0,4.0,28.29,28.8,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,9,2023,Q1,2023-Q1,39.88,6.24,11.19,18.81,1.78,1.63,31.07,28.06,15.64,21.49,17.24,60.54,9.45,1.66,4.17,26.7,3.75,1.92,88.88,81.0,9.0,26.5,14.06,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,10,2023,Q2,2023-Q2,41.26,6.48,11.12,28.42,2.71,1.65,33.63,26.94,15.71,12.0,15.07,84.52,9.55,2.2,5.34,33.98,6.73,2.34,41.6,44.0,4.0,24.28,24.14,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,11,2023,Q3,2023-Q3,45.09,6.99,12.62,15.98,1.56,1.26,33.42,27.98,15.5,15.58,5.88,47.8,9.74,2.03,4.5,29.05,2.16,2.12,,68.0,6.0,55.75,28.18,0,0,
BANK_003,"Mcclain, Miller and Henderson Rural Bank",Greater Accra,Small,Moderate,12,2023,Q4,2023-Q4,49.08,7.51,13.21,23.0,2.27,1.84,37.06,26.91,15.3,22.14,13.94,62.07,9.88,2.08,4.24,27.73,2.7,3.04,47.62,67.0,10.0,25.39,18.71,0,0,
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,1,2021,Q1,2021-Q1,314.19,28.75,108.43,160.01,5.71,4.19,266.85,34.51,9.15,9.51,10.68,59.96,3.57,18.13,5.77,63.07,8.35,21.28,41.08,263.0,37.0,51.98,5.04,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,2,2021,Q2,2021-Q2,290.73,26.47,103.29,191.26,6.9,4.63,204.38,35.53,9.1,19.42,6.8,93.58,3.61,4.08,1.4,15.4,4.57,20.18,86.2,343.0,42.0,22.17,6.89,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,3,2021,Q3,2021-Q3,305.43,27.68,104.74,139.98,4.97,5.36,229.67,34.29,9.06,12.75,10.13,60.95,3.55,17.12,5.6,61.83,10.73,11.63,81.11,329.0,46.0,,20.03,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,4,2021,Q4,2021-Q4,334.79,29.64,117.39,201.27,6.97,4.52,261.09,35.06,8.85,21.92,14.42,77.09,3.46,8.48,2.53,28.6,2.23,12.62,,482.0,47.0,56.97,22.25,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,5,2022,Q1,2022-Q1,306.82,27.09,110.41,122.05,4.21,4.91,256.11,35.99,8.83,22.03,14.1,47.66,3.45,13.27,4.32,48.97,3.22,16.54,62.9,193.0,15.0,49.95,,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,6,2022,Q2,2022-Q2,333.57,29.5,125.81,152.62,5.03,3.87,276.1,37.72,8.84,17.6,18.14,55.28,3.29,6.25,1.87,21.19,4.12,18.09,79.03,347.0,29.0,34.37,10.12,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,7,2022,Q3,2022-Q3,329.6,28.97,121.8,193.88,6.3,4.12,262.03,36.95,8.79,10.95,15.37,73.99,3.25,14.01,4.25,48.34,10.48,,81.49,261.0,52.0,30.94,20.77,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,8,2022,Q4,2022-Q4,294.38,25.86,103.37,201.87,6.76,7.12,217.04,35.11,8.78,17.9,10.81,93.01,3.35,13.28,4.51,51.35,3.9,17.94,51.03,433.0,50.0,23.95,6.94,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,9,2023,Q1,2023-Q1,303.59,26.54,105.68,177.7,5.85,3.45,235.25,34.81,8.74,22.7,8.99,75.53,3.29,6.58,2.17,24.78,8.52,21.41,69.92,,35.0,58.03,8.99,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,10,2023,Q2,2023-Q2,314.03,27.25,108.76,188.76,6.28,4.25,223.42,34.63,8.68,21.28,19.14,84.49,3.33,16.04,5.11,58.89,6.95,15.49,59.26,190.0,67.0,35.28,31.47,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,11,2023,Q3,2023-Q3,310.19,26.9,107.66,200.82,6.71,3.52,247.8,34.71,8.67,16.65,5.57,81.04,3.34,9.07,2.93,33.73,6.62,24.69,93.1,476.0,60.0,30.97,17.36,1,0,Low Capital; 
BANK_004,Davis and Sons Rural Bank,Volta,Large,Conservative,12,2023,Q4,2023-Q4,340.98,29.62,119.06,153.85,5.22,5.47,242.91,34.92,8.69,11.87,6.03,63.34,3.39,19.88,5.83,67.12,8.67,10.41,46.6,204.0,14.0,58.19,19.35,1,0,Low Capital; 
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,1,2021,Q1,2021-Q1,184.37,27.82,60.88,87.38,3.4,3.89,132.21,33.02,15.09,18.48,6.88,66.09,3.89,3.24,1.76,11.65,2.44,6.55,68.9,69.0,17.0,39.75,16.66,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,2,2021,Q2,2021-Q2,183.21,27.44,62.55,109.5,4.18,4.66,141.88,34.14,14.98,12.39,18.92,77.18,3.82,6.78,3.7,24.72,8.36,7.52,93.6,199.0,23.0,23.13,6.62,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,3,2021,Q3,2021-Q3,195.11,28.99,65.02,110.0,4.27,2.41,157.88,33.33,14.86,24.41,9.04,69.68,3.89,6.72,3.45,23.18,3.51,9.19,56.87,,29.0,42.54,8.18,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,4,2021,Q4,2021-Q4,202.8,30.2,68.53,77.63,3.12,3.48,158.93,33.79,14.89,12.72,11.51,48.85,4.02,4.08,2.01,13.51,10.8,12.75,50.21,198.0,31.0,42.67,,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,5,2022,Q1,2022-Q1,219.56,31.97,76.59,157.13,6.36,6.2,181.35,34.89,14.56,20.86,12.86,86.64,4.05,11.27,5.13,35.25,6.7,12.1,38.11,127.0,25.0,50.12,11.52,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,6,2022,Q2,2022-Q2,258.86,37.36,92.97,90.82,3.41,2.63,182.33,35.92,14.43,14.84,5.03,49.81,3.76,13.13,5.07,35.16,7.1,17.13,36.77,95.0,27.0,,19.6,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,7,2022,Q3,2022-Q3,291.89,42.78,103.14,134.01,5.04,5.15,232.19,35.33,14.66,24.69,5.34,57.72,3.76,5.77,1.98,13.48,10.25,16.35,54.28,74.0,,25.61,16.14,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,8,2022,Q4,2022-Q4,292.58,43.27,101.57,115.32,4.36,4.28,232.78,34.72,14.79,24.85,9.49,49.54,3.78,14.13,4.83,32.66,9.4,22.68,43.19,163.0,36.0,22.44,26.01,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,9,2023,Q1,2023-Q1,336.45,50.59,113.86,250.62,9.19,7.57,275.01,33.84,15.04,16.18,15.47,91.13,3.67,10.32,3.07,20.39,11.37,21.97,71.03,59.0,34.0,55.92,28.41,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,10,2023,Q2,2023-Q2,336.18,50.39,110.59,235.14,8.5,8.93,259.13,32.9,14.99,24.57,10.98,90.74,3.61,9.52,2.83,18.9,6.29,24.29,47.43,,32.0,17.09,23.59,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,11,2023,Q3,2023-Q3,304.08,45.94,96.82,178.75,6.65,5.87,216.8,31.84,15.11,10.18,9.73,82.45,3.72,16.51,5.43,35.93,5.93,21.71,81.2,174.0,21.0,59.08,,0,0,
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,Conservative,12,2023,Q4,2023-Q4,298.31,45.35,94.6,143.12,5.26,5.14,251.19,31.71,15.2,17.27,10.07,56.98,3.67,17.54,5.88,38.67,4.27,14.97,65.27,208.0,22.0,42.58,11.78,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,1,2021,Q1,2021-Q1,43.11,7.51,13.58,24.16,0.19,0.21,31.58,31.5,17.43,20.74,7.11,76.53,0.78,1.05,2.44,14.01,9.87,1.53,53.14,98.0,12.0,37.38,15.19,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,2,2021,Q2,2021-Q2,44.22,7.79,13.58,25.32,0.2,0.12,31.07,30.7,17.62,12.34,16.38,81.48,0.79,2.53,5.73,32.53,7.6,2.99,66.27,64.0,3.0,30.46,13.47,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,3,2021,Q3,2021-Q3,47.4,8.31,14.12,23.35,0.19,0.12,36.01,29.79,17.54,11.17,10.58,64.84,0.8,0.71,1.49,8.49,5.57,3.22,47.97,44.0,10.0,23.81,31.91,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,4,2021,Q4,2021-Q4,40.35,7.15,11.81,15.7,0.13,0.08,31.96,29.27,17.73,16.62,13.37,49.13,0.83,1.63,4.05,22.83,2.33,1.94,77.62,85.0,6.0,50.94,34.03,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,5,2022,Q1,2022-Q1,40.57,7.27,12.39,19.44,0.16,0.19,29.14,30.55,17.93,24.66,19.83,66.69,0.81,1.71,4.22,23.53,3.3,2.61,36.05,22.0,12.0,24.44,16.37,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,6,2022,Q2,2022-Q2,48.01,8.59,15.6,33.3,0.25,0.18,40.73,32.5,17.89,12.32,6.66,81.78,0.76,2.31,4.81,26.91,10.8,,45.88,,3.0,47.36,17.6,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,7,2022,Q3,2022-Q3,50.88,9.14,16.93,28.72,0.22,0.24,38.94,33.27,17.97,22.34,7.87,73.76,0.78,1.13,2.21,12.31,2.31,3.41,,45.0,2.0,45.68,10.01,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,8,2022,Q4,2022-Q4,51.24,9.17,17.5,21.77,0.17,0.18,36.4,34.15,17.9,23.36,8.23,59.82,0.8,1.16,2.27,12.69,10.07,1.69,88.43,72.0,13.0,15.01,10.07,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,9,2023,Q1,2023-Q1,50.6,8.93,17.32,22.2,0.18,0.15,36.4,34.23,17.64,8.31,8.4,60.99,0.81,1.52,3.01,17.07,2.27,3.96,,76.0,14.0,52.17,25.98,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,10,2023,Q2,2023-Q2,54.27,9.77,18.44,29.91,0.24,0.14,43.16,33.99,18.0,9.16,14.42,69.3,0.79,1.25,2.31,12.82,2.46,,48.45,85.0,2.0,25.19,26.91,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,11,2023,Q3,2023-Q3,52.59,9.48,18.99,34.79,0.28,0.31,39.42,36.1,18.03,12.85,18.16,88.25,0.81,1.67,3.18,17.63,4.68,3.65,67.27,72.0,5.0,24.91,19.65,0,0,
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,Conservative,12,2023,Q4,2023-Q4,54.27,9.95,19.75,33.81,0.27,0.31,38.52,36.39,18.34,15.9,5.49,87.77,0.8,0.91,1.68,9.15,5.41,2.08,41.09,95.0,7.0,50.5,24.19,0,0,
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,1,2021,Q1,2021-Q1,35.44,3.86,8.67,24.95,1.54,1.06,29.97,24.46,10.9,24.73,8.51,83.27,6.15,0.82,2.32,21.31,6.07,2.64,30.19,23.0,9.0,55.83,12.17,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,2,2021,Q2,2021-Q2,31.07,3.34,6.96,17.77,1.08,0.99,23.94,22.4,10.73,17.13,12.09,74.24,6.08,1.64,5.28,49.16,2.49,2.23,84.86,42.0,8.0,34.73,11.56,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,3,2021,Q3,2021-Q3,30.24,3.24,7.0,19.07,1.18,1.32,22.46,23.15,10.72,17.77,9.17,84.92,6.19,0.35,1.16,10.82,8.75,0.98,59.29,94.0,4.0,32.54,26.9,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,4,2021,Q4,2021-Q4,30.37,3.28,7.05,17.43,1.12,0.56,22.61,23.21,10.8,20.2,8.87,77.1,6.41,1.57,5.18,47.97,2.41,2.23,46.69,73.0,12.0,44.82,7.77,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,5,2022,Q1,2022-Q1,32.76,3.62,7.95,15.25,0.97,0.92,24.51,24.27,11.04,18.99,18.5,62.23,6.37,1.77,5.4,48.96,7.99,1.81,39.03,29.0,4.0,22.73,24.14,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,6,2022,Q2,2022-Q2,33.78,3.79,8.67,26.27,1.69,1.38,27.8,25.66,11.23,9.43,17.44,94.52,6.44,1.0,2.96,26.4,11.1,2.38,44.04,57.0,12.0,,16.62,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,7,2022,Q3,2022-Q3,33.77,3.83,8.77,19.56,1.23,0.95,28.0,25.98,11.35,15.65,6.16,69.84,6.31,1.31,3.88,34.14,9.59,1.18,87.83,20.0,6.0,16.23,16.79,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,8,2022,Q4,2022-Q4,33.09,3.87,7.77,17.66,1.19,0.91,23.39,23.47,11.7,8.11,7.48,75.52,6.72,1.03,3.12,26.63,9.92,1.98,36.58,87.0,8.0,52.88,22.41,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,9,2023,Q1,2023-Q1,32.39,3.79,7.71,22.23,1.5,0.89,23.78,23.8,11.72,9.69,7.51,93.46,6.74,0.65,2.0,17.06,11.26,1.64,55.7,45.0,3.0,36.95,8.9,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,10,2023,Q2,2023-Q2,31.72,3.76,7.54,16.07,1.1,0.62,24.32,23.77,11.85,18.32,10.62,66.07,6.84,0.56,1.76,14.89,2.31,2.49,80.28,98.0,8.0,38.95,10.05,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,11,2023,Q3,2023-Q3,34.54,4.07,7.97,23.81,1.61,1.57,27.85,23.09,11.79,12.0,10.34,85.47,6.75,1.74,5.05,42.8,7.45,1.32,67.89,99.0,3.0,51.75,11.22,1,0,Low Capital; 
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,Moderate,12,2023,Q4,2023-Q4,37.43,4.45,8.64,17.75,1.23,0.74,30.65,23.09,11.89,22.49,9.51,57.92,6.92,1.67,4.46,37.54,11.07,1.37,68.55,67.0,6.0,35.63,6.14,1,0,Low Capital; 
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,Conservative,1,2021,Q1,2021-Q1,161.88,32.51,70.79,96.53,0.27,0.31,124.65,43.73,20.09,16.72,5.87,77.44,0.28,2.56,1.58,7.86,9.55,8.84,,148.0,21.0,40.32,18.24,0,0,
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,Conservative,2,2021,Q2,2021-Q2,166.32,33.48,68.35,110.87,0.3,0.28,138.74,41.09,20.13,18.05,10.43,79.91,0.27,8.47,5.09,25.29,6.76,13.27,33.87,50.0,25.0,28.43,12.21,0,0,
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,Conservative,3,2021,Q3,2021-Q3,154.13,30.76,64.1,105.57,0.3,0.34,112.99,41.59,19.96,8.52,5.46,93.43,0.28,8.38,5.44,27.23,7.27,9.5,71.89,213.0,15.0,47.99,20.86,0,0,
