bank_id,bank_name,region,bank_size,lending_style,total_assets,total_equity,total_loans,current_deposits,liquidity_ratio,capital_adequacy_ratio,npl_ratio,loan_to_deposit_ratio,return_on_equity,return_on_assets,net_interest_margin,cost_to_income_ratio,actual_status_label,predicted_status_label,risk_probability,risk_category,prediction_correct
BANK_024,Morales-Jones Rural Bank,Central,Medium,Moderate,273.52,22.03,170.67,213.13,23.01,8.06,3.2,80.08,65.85,5.3,8.03,37.49,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_025,"Walter, Edwards and Rios Rural Bank",Western,Large,Conservative,301.95,43.83,98.09,217.06,28.93,14.52,0.93,45.19,10.99,1.6,8.72,82.37,Healthy,Healthy,0.0,Minimal Risk,1
BANK_026,Wilkerson-Day Rural Bank,Northern,Medium,Conservative,115.08,34.98,84.23,90.2,30.37,30.4,7.4,93.38,14.25,4.33,4.41,78.77,Healthy,Healthy,0.0,Minimal Risk,1
BANK_027,Baker and Sons Rural Bank,Eastern,Medium,Moderate,54.55,7.97,41.9,44.12,25.72,14.61,13.52,94.99,39.6,5.79,3.76,89.49,Healthy,Healthy,0.01,Minimal Risk,1
BANK_028,"Hoffman, Baker and Richards Rural Bank",Ashanti,Medium,Aggressive,87.61,26.13,65.0,72.5,12.37,29.82,18.13,89.66,13.89,4.14,10.5,40.89,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_029,"Ross, Robinson and Bright Rural Bank",Eastern,Small,Aggressive,50.11,11.39,23.21,37.52,18.31,22.72,26.62,61.88,7.86,1.79,3.45,89.44,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_030,"Snyder, Campos and Callahan Rural Bank",Eastern,Medium,Conservative,210.28,28.68,139.37,172.83,41.73,13.64,5.87,80.64,24.6,3.36,7.04,63.36,Healthy,Healthy,0.0,Minimal Risk,1
BANK_031,Burton Ltd Rural Bank,Ashanti,Small,Conservative,26.94,4.24,19.22,22.28,28.94,15.73,7.54,86.23,15.65,2.46,10.88,60.74,Healthy,Healthy,0.0,Minimal Risk,1
BANK_032,Carlson-Cruz Rural Bank,Ashanti,Medium,Conservative,264.04,31.73,92.05,209.82,26.47,12.02,2.99,43.87,43.92,5.28,11.3,58.4,Healthy,Healthy,0.02,Minimal Risk,1
BANK_033,"Ferrell, Rice and Maddox Rural Bank",Upper East,Small,Moderate,8.75,1.66,5.19,6.41,21.17,18.96,14.6,80.98,27.35,5.19,9.77,82.77,Healthy,Healthy,0.0,Minimal Risk,1
BANK_034,Frazier Inc Rural Bank,Ashanti,Large,Conservative,1088.44,105.83,589.69,768.53,33.62,9.72,3.6,76.73,20.81,2.02,4.47,36.72,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_035,"Dyer, Potter and Mack Rural Bank",Greater Accra,Medium,Moderate,152.69,28.81,100.93,109.2,22.17,18.87,10.9,92.43,5.31,1.0,2.56,89.01,Healthy,Healthy,0.0,Minimal Risk,1
BANK_036,Rodriguez-Graham Rural Bank,Eastern,Small,Moderate,12.41,2.0,4.75,9.62,16.39,16.14,7.34,49.37,37.16,6.0,11.87,55.65,Healthy,Healthy,0.0,Minimal Risk,1
BANK_037,Smith-Bowen Rural Bank,Ashanti,Medium,Conservative,157.86,30.97,52.31,120.66,33.89,19.62,2.37,43.35,26.77,5.25,4.98,62.68,Healthy,Healthy,0.0,Minimal Risk,1
BANK_038,"Baker, Mason and White Rural Bank",Eastern,Small,Moderate,17.46,2.84,9.77,14.24,17.81,16.24,16.46,68.58,16.7,2.71,11.31,58.13,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_039,Harrell LLC Rural Bank,Ashanti,Small,Moderate,14.73,1.32,6.74,10.9,19.87,8.97,12.51,61.85,44.24,3.97,6.93,91.59,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_040,"Romero, Gonzalez and Brooks Rural Bank",Ashanti,Small,Conservative,64.51,11.09,31.15,52.21,25.79,17.19,1.47,59.66,25.39,4.37,8.03,34.5,Healthy,Healthy,0.0,Minimal Risk,1
BANK_041,Ryan PLC Rural Bank,Western,Large,Conservative,212.96,36.46,103.75,163.69,27.19,17.12,0.88,63.39,25.82,4.42,8.42,84.69,Healthy,Healthy,0.0,Minimal Risk,1
BANK_042,George Group Rural Bank,Central,Medium,Moderate,288.01,40.1,138.6,215.36,34.98,13.92,13.99,64.36,34.89,4.86,9.7,,Healthy,Healthy,0.0,Minimal Risk,1
BANK_043,Rodriguez LLC Rural Bank,Central,Small,Moderate,28.52,4.46,13.89,22.18,27.16,15.63,10.99,62.64,33.96,5.31,6.62,44.79,Healthy,Healthy,0.0,Minimal Risk,1
BANK_044,Allen-Allen Rural Bank,Ashanti,Medium,Moderate,172.89,31.5,126.45,135.41,35.19,18.22,10.2,93.38,6.77,1.23,4.43,33.23,Healthy,Healthy,0.0,Minimal Risk,1
BANK_045,"Arroyo, Miller and Tucker Rural Bank",Volta,Small,Moderate,7.85,2.14,2.55,6.29,31.06,27.28,5.43,40.54,19.54,5.33,6.82,68.59,Healthy,Healthy,0.0,Minimal Risk,1
BANK_046,Spence PLC Rural Bank,Greater Accra,Small,Conservative,15.6,3.56,6.34,12.49,29.74,22.8,8.06,50.79,24.73,5.64,7.95,34.15,Healthy,Healthy,0.0,Minimal Risk,1
BANK_047,Anderson Group Rural Bank,Ashanti,Small,Moderate,26.48,4.24,18.0,20.61,30.05,16.0,11.97,87.34,7.58,1.21,8.66,75.9,Healthy,Healthy,0.0,Minimal Risk,1
BANK_048,"Martin, Rose and Obrien Rural Bank",Greater Accra,Small,Aggressive,48.57,8.31,27.65,36.87,10.39,17.12,9.99,75.01,6.13,1.05,6.61,65.35,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_049,Hickman Ltd Rural Bank,Upper West,Small,Conservative,17.9,3.98,11.46,12.8,28.6,22.24,3.54,89.54,16.74,3.72,9.05,79.27,Healthy,Healthy,0.0,Minimal Risk,1
BANK_050,"Harris, Collins and Carney Rural Bank",Upper West,Small,Aggressive,19.25,3.17,9.1,14.92,6.38,16.48,18.57,60.97,30.01,4.95,5.81,87.97,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_051,"Brooks, Lam and Hayes Rural Bank",Greater Accra,Small,Aggressive,50.45,15.05,25.28,38.9,12.53,29.83,26.14,64.99,17.58,5.25,4.75,,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_052,Walker LLC Rural Bank,Ashanti,Medium,Conservative,201.55,61.56,67.68,154.4,29.32,30.54,4.99,43.83,8.57,2.62,9.41,52.44,Healthy,Healthy,0.0,Minimal Risk,1
BANK_053,Chapman and Sons Rural Bank,Upper East,Medium,Conservative,75.11,6.4,35.8,57.77,25.11,8.52,2.41,61.97,50.09,4.27,2.49,38.36,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_054,"Robinson, Jones and Welch Rural Bank",Northern,Small,Aggressive,23.53,5.45,12.72,17.89,22.6,23.18,28.33,71.09,4.81,1.11,10.89,70.09,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_055,Jones Inc Rural Bank,Upper East,Medium,Aggressive,117.99,22.13,64.2,91.73,27.54,18.76,18.15,69.99,26.51,4.97,10.29,77.24,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_056,Jones-Young Rural Bank,Upper East,Small,Moderate,30.75,5.07,13.47,23.57,30.1,16.49,9.3,57.15,35.41,5.84,2.5,72.09,Healthy,Healthy,0.0,Minimal Risk,1
BANK_057,"Washington, Ryan and Cummings Rural Bank",Upper West,Small,Aggressive,51.88,14.52,33.07,36.77,7.88,28.0,25.65,89.94,15.97,4.47,9.9,55.19,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_058,"Johnston, Sanchez and Kennedy Rural Bank",Eastern,Small,Moderate,22.15,4.39,11.01,18.4,21.09,19.81,4.04,59.83,14.39,2.85,6.05,90.97,Healthy,Healthy,0.0,Minimal Risk,1
BANK_059,Lee-Davis Rural Bank,Greater Accra,Large,Conservative,766.16,128.52,263.19,609.83,33.53,16.77,4.2,43.16,27.66,4.64,10.85,46.05,Healthy,Healthy,0.0,Minimal Risk,1
BANK_060,Gomez-Jenkins Rural Bank,Northern,Small,Moderate,50.67,14.01,23.82,41.68,15.7,27.65,8.66,57.16,10.51,2.91,8.38,43.77,Healthy,Healthy,0.0,Minimal Risk,1
BANK_061,"Brown, Valdez and Lucas Rural Bank",Ashanti,Medium,Moderate,255.26,20.76,121.48,181.65,16.11,8.13,12.35,66.88,64.85,5.27,3.59,59.2,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_062,Powell LLC Rural Bank,Ashanti,Medium,Moderate,93.69,27.07,52.53,68.05,22.58,28.89,11.16,77.2,12.57,3.63,11.55,48.78,Healthy,Healthy,0.0,Minimal Risk,1
BANK_063,Wright and Sons Rural Bank,Upper East,Small,Moderate,11.96,3.43,4.09,9.75,19.13,28.65,5.82,41.97,15.48,4.43,2.78,39.06,Healthy,Healthy,0.0,Minimal Risk,1
BANK_064,"West, Henderson and Ramirez Rural Bank",Central,Small,Moderate,6.74,1.59,2.38,5.12,19.05,23.68,4.45,46.43,23.8,5.64,5.06,73.92,Healthy,Healthy,0.0,Minimal Risk,1
BANK_065,Baxter Inc Rural Bank,Northern,Small,Conservative,42.26,11.46,21.35,30.05,23.8,27.11,1.08,71.05,11.01,2.98,7.86,55.65,Healthy,Healthy,0.0,Minimal Risk,1
BANK_066,Morton-Chase Rural Bank,Greater Accra,Medium,Aggressive,55.3,8.21,39.78,42.03,9.94,14.85,9.79,94.64,10.34,1.53,6.75,58.99,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_067,Williams PLC Rural Bank,Ashanti,Large,Conservative,725.73,122.97,479.36,510.19,22.14,16.94,1.38,93.96,24.83,4.21,3.91,,Healthy,Healthy,0.0,Minimal Risk,1
BANK_068,Novak and Sons Rural Bank,Eastern,Small,Moderate,22.78,3.48,12.19,18.22,14.3,15.27,5.6,66.89,14.56,2.22,3.69,79.83,High-Risk,High-Risk,0.87,Critical Risk,1
BANK_069,Russell Group Rural Bank,Ashanti,Small,Conservative,28.67,6.5,11.77,24.31,41.4,22.67,3.85,48.42,12.11,2.74,10.84,75.42,Healthy,Healthy,0.0,Minimal Risk,1
BANK_070,Hancock Inc Rural Bank,Greater Accra,Small,Moderate,22.1,2.06,9.0,16.5,14.42,9.32,16.41,54.56,11.09,1.03,6.03,49.05,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_071,Gray Group Rural Bank,Eastern,Medium,Conservative,107.51,14.22,38.08,81.42,34.57,13.22,2.7,46.77,45.19,5.98,8.77,80.37,Healthy,Healthy,0.0,Minimal Risk,1
BANK_072,House-Glover Rural Bank,Greater Accra,Large,Moderate,768.82,104.19,303.69,649.53,17.7,13.55,12.14,46.76,32.38,4.39,2.1,49.67,Healthy,Healthy,0.04,Minimal Risk,1
BANK_073,Henderson-Bernard Rural Bank,Volta,Small,Conservative,45.68,5.29,24.22,33.74,37.63,11.57,2.7,71.8,37.34,4.32,4.55,46.64,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_074,"Stanley, Tucker and Lee Rural Bank",Ashanti,Small,Aggressive,39.72,11.23,14.79,32.5,24.86,28.28,13.23,45.49,5.52,1.56,9.73,89.01,Healthy,Healthy,0.0,Minimal Risk,1
BANK_075,Novak PLC Rural Bank,Central,Small,Conservative,20.62,4.31,14.47,16.86,44.48,20.88,6.37,85.8,13.72,2.86,3.85,43.44,Healthy,Healthy,0.0,Minimal Risk,1
BANK_076,"Daniels, Adkins and Brown Rural Bank",Volta,Medium,Moderate,120.4,26.04,47.0,91.51,27.71,21.63,8.48,51.36,24.75,5.35,4.33,36.28,Healthy,Healthy,0.0,Minimal Risk,1
BANK_077,"Woods, Calhoun and Schmidt Rural Bank",Upper East,Medium,Moderate,79.25,17.56,46.52,66.61,30.2,22.15,11.62,69.85,7.42,1.64,3.35,54.55,Healthy,Healthy,0.0,Minimal Risk,1
BANK_078,Yu Inc Rural Bank,Eastern,Small,Conservative,10.1,1.57,6.45,7.3,35.82,15.57,1.82,88.3,27.43,4.27,10.77,68.35,Healthy,Healthy,0.0,Minimal Risk,1
BANK_079,Jones Inc Rural Bank,Bono,Small,Aggressive,25.61,3.36,10.56,18.26,15.74,13.14,26.61,57.83,27.94,3.67,11.24,71.17,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_080,"Hensley, Powell and David Rural Bank",Greater Accra,Small,Moderate,56.88,5.58,20.29,40.09,16.8,9.81,17.69,50.63,50.77,4.98,2.79,71.6,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_081,"Sanchez, Wheeler and Harvey Rural Bank",Eastern,Small,Moderate,16.56,3.36,7.81,12.96,22.34,20.27,13.79,60.27,28.93,5.86,4.03,78.8,Healthy,Healthy,0.0,Minimal Risk,1
BANK_082,Sandoval-Cunningham Rural Bank,Western,Large,Aggressive,314.31,27.42,177.7,253.37,6.59,8.72,15.85,70.13,19.18,1.67,3.91,77.49,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_083,Donovan-Harris Rural Bank,Central,Medium,Conservative,170.2,50.65,115.47,132.48,34.55,29.76,6.09,87.16,15.64,4.66,2.31,47.38,Healthy,Healthy,0.0,Minimal Risk,1
BANK_084,"Edwards, Baker and Anderson Rural Bank",Eastern,Large,Moderate,290.39,46.82,100.56,243.29,29.21,16.12,14.49,41.33,13.56,2.19,4.57,62.5,Healthy,Healthy,0.01,Minimal Risk,1
BANK_085,"Evans, Stewart and Walton Rural Bank",Western,Small,Moderate,22.52,2.86,11.09,17.82,27.75,12.69,16.18,62.2,25.58,3.25,7.24,77.56,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_086,Smith PLC Rural Bank,Greater Accra,Small,Moderate,10.23,2.94,5.15,7.2,28.19,28.77,3.97,71.5,7.23,2.08,8.49,59.95,Healthy,Healthy,0.0,Minimal Risk,1
BANK_087,"Ferrell, Jones and Lewis Rural Bank",Greater Accra,Medium,Conservative,182.08,25.43,132.07,140.46,41.42,13.97,1.29,94.02,17.65,2.46,6.81,,Healthy,Healthy,0.0,Minimal Risk,1
BANK_088,Anderson-Bailey Rural Bank,Greater Accra,Small,Conservative,15.14,2.82,10.09,11.02,34.42,18.62,8.29,91.51,26.36,4.91,11.43,33.17,Healthy,Healthy,0.0,Minimal Risk,1
BANK_089,Suarez LLC Rural Bank,Upper West,Small,Moderate,22.05,4.19,10.37,18.75,33.57,19.01,12.2,55.3,11.64,2.21,10.91,72.35,Healthy,Healthy,0.0,Minimal Risk,1
BANK_090,Moore-Bass Rural Bank,Western,Medium,Conservative,159.54,42.01,98.87,125.89,22.13,26.34,1.65,78.53,10.31,2.71,7.32,44.96,Healthy,Healthy,0.0,Minimal Risk,1
BANK_091,"Turner, Riggs and Roman Rural Bank",Greater Accra,Small,Moderate,10.49,2.85,6.73,7.79,23.75,27.17,9.38,86.37,5.45,1.48,5.82,36.53,Healthy,Healthy,0.0,Minimal Risk,1
BANK_092,"Smith, Montoya and Evans Rural Bank",Ashanti,Small,Aggressive,50.16,12.67,34.53,39.86,12.71,25.27,10.54,86.62,23.36,5.9,8.27,33.55,High-Risk,High-Risk,0.98,Critical Risk,1
BANK_093,"Garcia, Humphrey and Baker Rural Bank",Greater Accra,Medium,Moderate,107.28,26.79,74.54,83.93,20.27,24.97,8.74,88.81,15.98,3.99,5.83,41.76,Healthy,Healthy,0.0,Minimal Risk,1
BANK_094,Newton and Sons Rural Bank,Western,Small,Moderate,59.25,12.37,40.8,43.84,25.21,20.87,7.33,93.07,14.6,3.05,10.06,88.17,Healthy,Healthy,0.0,Minimal Risk,1
BANK_095,Campbell-Clark Rural Bank,Upper East,Large,Conservative,549.04,95.95,344.09,411.69,20.28,17.48,2.79,83.58,7.44,1.3,2.39,87.66,Healthy,Healthy,0.0,Minimal Risk,1
BANK_096,Harris-Walters Rural Bank,Eastern,Medium,Aggressive,176.98,19.39,102.53,129.73,16.26,10.95,28.66,79.04,16.31,1.79,2.93,70.57,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_097,Wagner-King Rural Bank,Central,Medium,Aggressive,174.05,49.11,71.83,138.39,24.3,28.21,19.8,51.91,7.66,2.16,7.39,57.39,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_098,Davis Group Rural Bank,Eastern,Small,Aggressive,36.74,9.57,26.61,29.96,15.24,26.04,24.08,88.84,15.16,3.95,6.39,59.55,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_099,Williams-Cook Rural Bank,Eastern,Medium,Conservative,156.9,26.74,81.21,110.31,23.55,17.05,4.41,73.62,19.2,3.27,11.54,78.74,Healthy,Healthy,0.0,Minimal Risk,1
BANK_100,Walsh LLC Rural Bank,Central,Medium,Aggressive,131.02,35.48,84.54,105.02,11.49,27.08,17.72,80.49,11.59,3.14,8.66,48.36,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_101,Figueroa PLC Rural Bank,Greater Accra,Large,Conservative,888.0,183.43,387.19,625.35,30.58,20.66,8.38,61.92,10.98,2.27,2.38,72.28,Healthy,Healthy,0.0,Minimal Risk,1
BANK_102,"Patterson, Smith and Jones Rural Bank",Greater Accra,Small,Moderate,49.37,4.22,16.4,35.88,25.54,8.56,7.03,45.71,39.41,3.37,4.38,82.09,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_103,"Mckee, Gardner and Davenport Rural Bank",Western,Medium,Moderate,167.9,25.06,60.78,138.39,20.34,14.93,13.01,43.92,8.38,1.25,3.86,38.85,Healthy,Healthy,0.01,Minimal Risk,1
BANK_104,"Tran, Jordan and Williams Rural Bank",Western,Small,Moderate,27.69,6.11,13.28,19.93,27.53,22.06,2.9,66.64,17.51,3.86,9.43,92.01,Healthy,Healthy,0.0,Minimal Risk,1
BANK_105,Nolan-Flynn Rural Bank,Upper East,Medium,Moderate,166.95,48.85,107.05,135.19,33.73,29.26,5.15,79.18,9.88,2.89,5.94,49.49,Healthy,Healthy,0.0,Minimal Risk,1
BANK_106,Nolan and Sons Rural Bank,Eastern,Large,Moderate,958.33,244.03,351.65,810.58,16.2,25.46,13.67,43.38,21.79,5.55,6.71,76.25,Healthy,Healthy,0.0,Minimal Risk,1
BANK_107,"Wright, Garcia and Deleon Rural Bank",Bono,Medium,Moderate,65.09,15.2,26.63,45.8,21.99,23.36,17.95,58.14,21.45,5.01,6.63,75.42,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_108,Dickson-Brady Rural Bank,Eastern,Small,Aggressive,9.63,1.51,3.77,8.08,8.33,15.64,20.99,46.6,10.0,1.56,2.48,77.46,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_109,Hancock and Sons Rural Bank,Central,Small,Moderate,81.36,7.14,38.22,66.19,25.11,8.78,13.07,57.73,30.36,2.66,3.96,47.45,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_110,Johnson-Doyle Rural Bank,Upper East,Small,Moderate,26.18,6.96,13.05,18.86,34.34,26.6,5.05,69.22,15.1,4.02,3.9,92.2,Healthy,Healthy,0.0,Minimal Risk,1
BANK_111,Patton-Jenkins Rural Bank,Ashanti,Small,Conservative,31.36,6.32,13.53,25.88,41.74,20.16,6.4,52.29,11.66,2.35,11.0,39.39,Healthy,Healthy,0.0,Minimal Risk,1
BANK_112,"Shields, Cochran and Adams Rural Bank",Upper East,Small,Conservative,32.86,6.76,12.72,23.38,28.62,20.57,5.04,54.38,8.13,1.67,11.09,59.75,Healthy,Healthy,0.0,Minimal Risk,1
BANK_113,"Rodriguez, Brennan and Garrison Rural Bank",Central,Large,Moderate,1040.34,297.5,458.1,790.15,19.21,28.6,7.64,57.98,8.05,2.3,6.53,84.31,Healthy,Healthy,0.0,Minimal Risk,1
BANK_114,Gonzalez Group Rural Bank,Greater Accra,Small,Moderate,9.17,2.31,6.77,7.2,24.81,25.23,16.39,94.11,10.68,2.69,3.73,31.32,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_115,Torres-Pope Rural Bank,Northern,Medium,Moderate,158.88,30.83,79.29,122.7,23.98,19.4,11.08,64.62,16.94,3.29,9.95,48.42,Healthy,Healthy,0.0,Minimal Risk,1
BANK_116,Walker Ltd Rural Bank,Upper West,Small,Aggressive,15.23,4.43,9.27,11.57,4.63,29.07,20.08,80.17,16.99,4.94,6.26,58.14,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_117,Ross LLC Rural Bank,Western,Medium,Aggressive,100.6,29.19,58.11,75.17,25.39,29.02,12.53,77.3,5.84,1.69,11.65,66.55,Healthy,Healthy,0.0,Minimal Risk,1
BANK_118,Rasmussen LLC Rural Bank,Bono,Medium,Moderate,203.81,22.93,92.24,148.5,20.42,11.25,7.84,62.12,21.45,2.41,9.07,80.74,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_119,May-Ross Rural Bank,Volta,Large,Moderate,540.3,162.87,275.95,380.29,20.93,30.14,7.61,72.56,17.28,5.21,5.35,32.16,Healthy,Healthy,0.0,Minimal Risk,1
BANK_120,"Rivera, Johnson and Wiley Rural Bank",Volta,Small,Moderate,25.2,3.75,13.06,20.3,31.89,14.88,13.02,64.33,28.01,4.17,3.63,66.12,Healthy,Healthy,0.0,Minimal Risk,1
BANK_121,White-Estes Rural Bank,Ashanti,Medium,Moderate,175.04,44.23,99.94,144.2,27.04,25.27,6.7,69.31,14.14,3.57,7.89,33.62,Healthy,Healthy,0.0,Minimal Risk,1
BANK_122,Johnson-Carlson Rural Bank,Volta,Small,Aggressive,15.07,2.94,8.52,11.66,25.52,19.52,22.55,73.05,16.1,3.14,8.33,,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_123,Chandler-Edwards Rural Bank,Ashanti,Medium,Moderate,72.14,11.04,46.17,60.33,29.07,15.3,5.8,76.53,27.58,4.22,3.36,45.86,Healthy,Healthy,0.0,Minimal Risk,1
BANK_124,"Joyce, Wilson and Lam Rural Bank",Eastern,Medium,Moderate,125.42,30.95,90.3,102.68,28.24,24.68,16.32,87.94,20.41,5.04,5.1,75.94,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_125,Scott Ltd Rural Bank,Western,Small,Conservative,47.84,5.21,20.18,34.68,26.83,10.89,2.46,58.19,13.86,1.51,11.15,77.27,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_126,Smith-Frost Rural Bank,Greater Accra,Small,Moderate,41.34,4.48,27.74,31.21,19.71,10.85,13.87,88.89,52.64,5.71,7.33,58.93,High-Risk,High-Risk,1.0,Critical Risk,1
