bank_id,bank_name,region,bank_size,year,quarter,quarter_num,date,total_assets,liquidity_ratio,capital_adequacy_ratio,npl_ratio,return_on_equity,loan_to_deposit_ratio,financial_health_status,status_label
BANK_004,Davis and Sons Rural Bank,Volta,Large,2021,Q4,4,2021-Q4,334.79,35.06,8.85,3.46,28.6,77.09,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2022,Q1,5,2022-Q1,306.82,35.99,8.83,3.45,48.97,47.66,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2022,Q2,6,2022-Q2,333.57,37.72,8.84,3.29,21.19,55.28,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2022,Q3,7,2022-Q3,329.6,36.95,8.79,3.25,48.34,73.99,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2022,Q4,8,2022-Q4,294.38,35.11,8.78,3.35,51.35,93.01,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2023,Q1,9,2023-Q1,303.59,34.81,8.74,3.29,24.78,75.53,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2023,Q2,10,2023-Q2,314.03,34.63,8.68,3.33,58.89,84.49,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2023,Q3,11,2023-Q3,310.19,34.71,8.67,3.34,33.73,81.04,1,High-Risk
BANK_004,Davis and Sons Rural Bank,Volta,Large,2023,Q4,12,2023-Q4,340.98,34.92,8.69,3.39,67.12,63.34,1,High-Risk
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2021,Q1,1,2021-Q1,184.37,33.02,15.09,3.89,11.65,66.09,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2021,Q2,2,2021-Q2,183.21,34.14,14.98,3.82,24.72,77.18,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2021,Q3,3,2021-Q3,195.11,33.33,14.86,3.89,23.18,69.68,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2021,Q4,4,2021-Q4,202.8,33.79,14.89,4.02,13.51,48.85,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2022,Q1,5,2022-Q1,219.56,34.89,14.56,4.05,35.25,86.64,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2022,Q2,6,2022-Q2,258.86,35.92,14.43,3.76,35.16,49.81,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2022,Q3,7,2022-Q3,291.89,35.33,14.66,3.76,13.48,57.72,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2022,Q4,8,2022-Q4,292.58,34.72,14.79,3.78,32.66,49.54,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2023,Q1,9,2023-Q1,336.45,33.84,15.04,3.67,20.39,91.13,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2023,Q2,10,2023-Q2,336.18,32.9,14.99,3.61,18.9,90.74,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2023,Q3,11,2023-Q3,304.08,31.84,15.11,3.72,35.93,82.45,0,Healthy
BANK_005,"Guzman, Hoffman and Baldwin Rural Bank",Central,Medium,2023,Q4,12,2023-Q4,298.31,31.71,15.2,3.67,38.67,56.98,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2021,Q1,1,2021-Q1,43.11,31.5,17.43,0.78,14.01,76.53,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2021,Q2,2,2021-Q2,44.22,30.7,17.62,0.79,32.53,81.48,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2021,Q3,3,2021-Q3,47.4,29.79,17.54,0.8,8.49,64.84,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2021,Q4,4,2021-Q4,40.35,29.27,17.73,0.83,22.83,49.13,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2022,Q1,5,2022-Q1,40.57,30.55,17.93,0.81,23.53,66.69,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2022,Q2,6,2022-Q2,48.01,32.5,17.89,0.76,26.91,81.78,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2022,Q3,7,2022-Q3,50.88,33.27,17.97,0.78,12.31,73.76,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2022,Q4,8,2022-Q4,51.24,34.15,17.9,0.8,12.69,59.82,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2023,Q1,9,2023-Q1,50.6,34.23,17.64,0.81,17.07,60.99,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2023,Q2,10,2023-Q2,54.27,33.99,18.0,0.79,12.82,69.3,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2023,Q3,11,2023-Q3,52.59,36.1,18.03,0.81,17.63,88.25,0,Healthy
BANK_006,"Gardner, Robinson and Lawrence Rural Bank",Central,Small,2023,Q4,12,2023-Q4,54.27,36.39,18.34,0.8,9.15,87.77,0,Healthy
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2021,Q1,1,2021-Q1,35.44,24.46,10.9,6.15,21.31,83.27,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2021,Q2,2,2021-Q2,31.07,22.4,10.73,6.08,49.16,74.24,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2021,Q3,3,2021-Q3,30.24,23.15,10.72,6.19,10.82,84.92,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2021,Q4,4,2021-Q4,30.37,23.21,10.8,6.41,47.97,77.1,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2022,Q1,5,2022-Q1,32.76,24.27,11.04,6.37,48.96,62.23,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2022,Q2,6,2022-Q2,33.78,25.66,11.23,6.44,26.4,94.52,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2022,Q3,7,2022-Q3,33.77,25.98,11.35,6.31,34.14,69.84,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2022,Q4,8,2022-Q4,33.09,23.47,11.7,6.72,26.63,75.52,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2023,Q1,9,2023-Q1,32.39,23.8,11.72,6.74,17.06,93.46,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2023,Q2,10,2023-Q2,31.72,23.77,11.85,6.84,14.89,66.07,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2023,Q3,11,2023-Q3,34.54,23.09,11.79,6.75,42.8,85.47,1,High-Risk
BANK_007,Blake and Sons Rural Bank,Greater Accra,Small,2023,Q4,12,2023-Q4,37.43,23.09,11.89,6.92,37.54,57.92,1,High-Risk
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2021,Q1,1,2021-Q1,161.88,43.73,20.09,0.28,7.86,77.44,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2021,Q2,2,2021-Q2,166.32,41.09,20.13,0.27,25.29,79.91,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2021,Q3,3,2021-Q3,154.13,41.59,19.96,0.28,27.23,93.43,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2021,Q4,4,2021-Q4,161.87,42.23,19.89,0.28,14.69,43.8,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2022,Q1,5,2022-Q1,178.11,42.58,20.02,0.28,16.99,45.55,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2022,Q2,6,2022-Q2,181.09,43.17,19.88,0.27,15.29,72.08,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2022,Q3,7,2022-Q3,187.64,40.85,20.32,0.27,22.7,52.91,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2022,Q4,8,2022-Q4,187.1,39.61,20.51,0.27,28.13,89.26,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2023,Q1,9,2023-Q1,172.81,38.92,20.27,0.27,21.63,77.13,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2023,Q2,10,2023-Q2,199.61,38.83,20.19,0.27,20.43,45.76,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2023,Q3,11,2023-Q3,209.29,38.43,20.12,0.28,29.36,75.62,0,Healthy
BANK_008,"Henderson, Ramirez and Lewis Rural Bank",Eastern,Medium,2023,Q4,12,2023-Q4,214.71,37.99,20.24,0.29,28.57,45.49,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2021,Q1,1,2021-Q1,56.25,41.43,16.75,1.76,8.57,65.02,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2021,Q2,2,2021-Q2,59.23,41.61,16.54,1.8,31.05,71.25,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2021,Q3,3,2021-Q3,56.96,41.81,16.94,1.91,29.1,76.94,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2021,Q4,4,2021-Q4,58.43,40.74,17.0,1.96,26.06,49.01,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2022,Q1,5,2022-Q1,58.16,41.1,17.21,1.91,30.73,92.93,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2022,Q2,6,2022-Q2,62.1,42.93,17.26,1.84,31.37,67.4,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2022,Q3,7,2022-Q3,59.99,43.46,17.53,1.88,18.86,93.19,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2022,Q4,8,2022-Q4,58.52,40.57,17.16,1.98,13.97,42.53,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2023,Q1,9,2023-Q1,68.36,39.73,16.91,1.95,17.6,74.95,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2023,Q2,10,2023-Q2,79.74,42.03,17.02,1.8,20.94,92.6,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2023,Q3,11,2023-Q3,85.56,40.8,16.93,1.8,7.04,88.89,0,Healthy
BANK_009,Garcia-James Rural Bank,Western,Medium,2023,Q4,12,2023-Q4,81.3,41.16,17.14,1.84,23.44,68.36,0,Healthy
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2021,Q1,1,2021-Q1,729.64,30.18,9.14,10.69,59.16,57.05,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2021,Q2,2,2021-Q2,786.09,29.92,9.07,10.95,38.46,48.23,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2021,Q3,3,2021-Q3,894.52,30.16,9.1,10.49,53.58,49.46,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2021,Q4,4,2021-Q4,969.56,32.15,9.0,10.23,36.65,46.54,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2022,Q1,5,2022-Q1,1036.14,33.88,9.03,10.37,27.71,70.74,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2022,Q2,6,2022-Q2,1122.45,34.23,9.12,10.08,56.29,57.41,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2022,Q3,7,2022-Q3,1131.74,34.91,9.0,9.81,28.93,63.68,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2022,Q4,8,2022-Q4,1100.27,34.1,8.97,10.24,37.04,73.06,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2023,Q1,9,2023-Q1,1146.72,35.67,8.84,10.35,18.47,73.3,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2023,Q2,10,2023-Q2,1176.0,37.95,8.76,10.06,40.84,78.71,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2023,Q3,11,2023-Q3,1232.31,37.74,8.87,10.25,23.16,42.78,1,High-Risk
BANK_010,Abbott-Munoz Rural Bank,Volta,Large,2023,Q4,12,2023-Q4,1322.15,39.45,8.84,10.23,23.32,84.4,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2021,Q1,1,2021-Q1,46.02,23.5,8.65,13.93,45.71,40.87,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2021,Q2,2,2021-Q2,45.19,22.87,8.76,14.37,56.54,53.93,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2021,Q3,3,2021-Q3,45.83,22.39,8.84,14.71,55.4,67.47,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2021,Q4,4,2021-Q4,49.63,21.81,8.75,14.69,52.94,62.48,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2022,Q1,5,2022-Q1,46.41,22.16,8.78,14.65,46.64,44.21,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2022,Q2,6,2022-Q2,52.31,22.07,8.59,13.36,35.45,88.64,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2022,Q3,7,2022-Q3,56.07,21.55,8.6,13.99,48.18,69.78,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2022,Q4,8,2022-Q4,57.35,21.42,8.53,14.61,56.37,94.24,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2023,Q1,9,2023-Q1,60.72,21.15,8.53,14.76,66.61,93.92,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2023,Q2,10,2023-Q2,66.12,21.32,8.56,14.87,26.62,78.35,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2023,Q3,11,2023-Q3,64.45,21.61,8.5,15.14,37.37,66.36,1,High-Risk
BANK_011,Blair PLC Rural Bank,Ashanti,Small,2023,Q4,12,2023-Q4,67.37,21.29,8.63,15.25,59.12,60.6,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2021,Q1,1,2021-Q1,113.91,9.14,20.06,20.89,14.15,59.26,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2021,Q2,2,2021-Q2,117.14,8.91,20.14,21.87,9.2,81.7,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2021,Q3,3,2021-Q3,116.03,9.5,19.92,22.92,10.31,92.72,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2021,Q4,4,2021-Q4,118.08,9.64,20.03,23.75,16.32,94.08,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2022,Q1,5,2022-Q1,112.68,9.73,19.97,23.52,22.1,80.49,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2022,Q2,6,2022-Q2,128.79,9.72,19.74,23.54,4.86,57.5,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2022,Q3,7,2022-Q3,129.83,9.94,19.87,24.36,19.04,61.48,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2022,Q4,8,2022-Q4,116.19,9.61,19.29,26.14,28.04,65.36,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2023,Q1,9,2023-Q1,128.52,9.47,19.36,26.24,5.99,62.76,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2023,Q2,10,2023-Q2,131.34,9.48,19.39,26.29,20.01,72.15,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2023,Q3,11,2023-Q3,139.0,9.64,19.89,26.08,9.45,77.59,1,High-Risk
BANK_012,Dudley Group Rural Bank,Greater Accra,Medium,2023,Q4,12,2023-Q4,131.68,9.8,19.64,26.59,16.22,89.05,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2021,Q1,1,2021-Q1,10.15,31.53,8.19,5.64,33.07,51.4,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2021,Q2,2,2021-Q2,10.19,30.46,8.17,5.64,30.77,78.87,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2021,Q3,3,2021-Q3,8.66,28.35,8.06,6.05,16.18,59.09,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2021,Q4,4,2021-Q4,9.19,29.97,8.08,5.92,64.44,62.89,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2022,Q1,5,2022-Q1,9.5,31.68,8.06,6.11,60.69,62.36,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2022,Q2,6,2022-Q2,9.79,33.29,7.93,6.29,26.77,72.39,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2022,Q3,7,2022-Q3,10.48,34.44,7.94,6.37,44.08,72.45,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2022,Q4,8,2022-Q4,9.78,33.8,7.91,6.64,68.52,76.85,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2023,Q1,9,2023-Q1,9.5,33.7,7.92,6.69,54.76,90.73,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2023,Q2,10,2023-Q2,9.73,32.72,8.04,6.5,50.98,55.55,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2023,Q3,11,2023-Q3,10.42,33.45,8.02,6.21,29.0,65.06,1,High-Risk
BANK_013,Arnold Ltd Rural Bank,Northern,Small,2023,Q4,12,2023-Q4,10.54,34.35,8.08,6.13,68.65,49.07,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2021,Q1,1,2021-Q1,94.14,19.34,10.53,22.7,25.45,83.13,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2021,Q2,2,2021-Q2,99.11,18.81,10.56,23.18,43.46,49.53,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2021,Q3,3,2021-Q3,94.47,17.53,10.58,24.19,20.71,68.77,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2021,Q4,4,2021-Q4,94.14,17.19,10.61,24.92,35.33,73.93,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2022,Q1,5,2022-Q1,89.15,17.36,10.62,25.34,50.34,71.59,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2022,Q2,6,2022-Q2,91.57,17.73,10.71,25.84,8.9,47.68,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2022,Q3,7,2022-Q3,98.34,17.3,10.87,25.67,10.14,91.05,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2022,Q4,8,2022-Q4,93.98,17.74,10.85,28.41,23.2,64.43,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2023,Q1,9,2023-Q1,95.06,17.42,10.78,27.19,12.15,54.43,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2023,Q2,10,2023-Q2,93.17,16.47,10.75,27.76,18.39,67.53,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2023,Q3,11,2023-Q3,100.51,15.92,10.71,28.22,53.91,64.23,1,High-Risk
BANK_014,"Mcclure, Ward and Lee Rural Bank",Greater Accra,Medium,2023,Q4,12,2023-Q4,104.82,17.0,10.42,26.98,40.89,82.7,1,High-Risk
BANK_015,Williams and Sons Rural Bank,Upper East,Large,2021,Q1,1,2021-Q1,698.09,33.54,28.86,6.33,10.84,54.55,0,Healthy
BANK_015,Williams and Sons Rural Bank,Upper East,Large,2021,Q2,2,2021-Q2,680.61,34.88,29.27,6.66,12.05,40.34,0,Healthy
BANK_015,Williams and Sons Rural Bank,Upper East,Large,2021,Q3,3,2021-Q3,535.24,33.73,29.52,7.28,16.11,58.26,0,Healthy
BANK_015,Williams and Sons Rural Bank,Upper East,Large,2021,Q4,4,2021-Q4,517.78,34.66,29.01,7.06,20.15,49.42,0,Healthy
